id,title,category,publicationDate,description,metadata
8044ea85-a65d-451d-bbab-53364f51c263,"Visitor, The (Muukalainen)",Drama,1970-02-06,Official size basketball for indoor and outdoor play.,{}
cf41a10a-557b-4ecf-9d22-2a0ad0001459,"Trespasser, The",Drama,2006-08-23,"A mix of fresh vegetables with a savory stir-fry sauce, ready to cook.",{}
0b5d1465-98b7-4ab2-8e40-b9644745f058,"Little Prince, The",Musical,2012-08-24,"Layers of pasta, veggies, and cheese baked to perfection.",{}
208be2c9-c62d-4bc9-b5a9-ca19bc9cbb50,Cecil B. DeMented,Comedy,2024-12-19,"Fresh baby spinach leaves, great for salads and smoothies.",{}
35a5256b-98c3-475c-9741-c5cfd390c5f8,Magnificent Bodyguards (Fei du juan yun shan),Action,1968-11-27,Nutritious energy bars packed with chocolate chips.,{}
fc772482-abe1-44a1-9f37-53481127627c,Enron: The Smartest Guys in the Room,Comedy,1966-02-15,Moist and flavorful muffins packed with fall spices and pumpkin puree.,{}
4b433e4a-6c64-4cec-b449-588478efa49c,Screwed in Tallinn (Torsk på Tallinn - En liten film om ensamhet),Comedy,1996-02-01,Durable lunch box designed to keep food fresh and cool.,{}
09351520-e95b-4f2d-b823-6223999e3740,"Goonies, The",Action,1963-06-07,Eco-friendly generator for outdoor adventures.,{}
ef9b72a0-ae7a-41a3-a1de-3ada18679c6a,Critical Care,Comedy,2005-12-28,"Savory sausage with a blend of spices, perfect for pasta dishes.",{}
311326a4-6f34-4a30-96cb-108011066215,Turn of Faith,Drama,1994-02-11,Frozen smoothie pack with strawberries and bananas.,{}
1f0046d6-3ed2-40b7-9688-352054af5d86,Dark Water,Drama,1981-07-07,"Ready-to-eat beet salad with dressing, great side dish.",{}
1c7ecc65-a1d7-4f91-9411-7548aa005a37,"Gestapo's Last Orgy, The (L'ultima orgia del III Reich)",Thriller,2025-08-07,Reusable straws that come with a cleaning brush.,{}
93095400-e015-4740-bb89-3720618dc7b1,Born in East L.A.,Comedy,2016-09-17,8oz water bottle with built-in filter for clean drinking water.,{}
9e7bad7c-9482-4bc6-83dc-4f7c46503e33,Turtles Can Fly (Lakposhtha hâm parvaz mikonand),Drama,1988-05-31,"Moist, fluffy muffins packed with bananas and walnuts for a delightful breakfast or snack.",{}
3c40c412-6313-42a1-a942-519b6dac5333,Is Anybody There?,Drama,2004-10-30,"Pasta tossed with fresh basil pesto, simple and delicious.",{}
96652213-3937-4859-8a43-ce48115ea191,Real Life,Comedy,1972-06-10,Multi-functional tool for emergency situations in the car.,{}
9d90d27f-6077-4c14-a953-b9cd6241489a,Black Venus,Drama,2019-07-22,"Crunchy pretzels coated in rich chocolate, a sweet treat.",{}
8c3c56dd-e4e9-4954-98a8-b3277cc23dc5,Codebreaker,Documentary,1969-06-02,"A simple, no-bake cheesecake mix to create your own delicious cheesecake.",{}
07707271-2b92-4eac-969a-7d81348284ac,The Night That Panicked America,Drama,2020-11-15,Quick and easy rice pilaf mix for side dishes.,{}
d317eb91-003c-4dd5-9fc3-d6ad1eac7a8a,Holy Motors,Drama,1980-03-09,High-intensity flashlight with adjustable focus and brightness.,{}
539ecc2b-c3a1-4394-bc5e-706f08049c35,LUV,Drama,2009-03-12,"Crispy chips with a sweet twist, perfect for dipping.",{}
27136879-aecd-44ad-802e-dd1275f5c311,"Hard Corps, The",Action,1981-08-26,"Fresh salad with pears, gorgonzola cheese, and nuts, perfect for lunch.",{}
c6912e01-aadd-4624-96a6-fad5d2fe8bb3,Paying the Price: Killing the Children of Iraq,Documentary,2005-07-17,"Track steps, heart rate, and sleep patterns.",{}
4679d16f-59a6-4935-bffa-bc185c244d45,House of Sand and Fog,Drama,2003-01-06,Natural elderberry syrup to boost immunity.,{}
752efb03-7f22-4c60-8333-0a9ffd279016,SpaceCamp,Adventure,1976-08-09,Comfortable kneeling pad for gardening or home projects.,{}
5525db09-73fc-436b-9ae3-7e6651a844f3,"War at Home, The",Drama,1981-11-29,Decorative table runner perfect for autumn gatherings.,{}
866ec15b-c0db-4403-bf76-042a4c5c1f67,Azumi,Action,1969-07-15,Double-walled mug to keep your drink hot for longer.,{}
fd95b535-1653-49aa-bdda-aba0a8f44ea2,Gran Paradiso,Adventure,2013-09-11,Compact storage for your jewelry while traveling.,{}
c305e9c2-5507-447d-ba3f-90e3b2e7895a,High School Musical 3: Senior Year,Musical,1967-03-25,Artisan bread with caraway seeds for added flavor.,{}
5a66c989-03bc-419e-b1eb-b7571e8ba0d9,Elaine Stritch: Shoot Me,Documentary,2007-06-12,Refreshing sparkling water with cucumber and lime flavor.,{}
a1bdb1ec-0371-4a76-96eb-4b7f2c3e6caf,Rhapsody in August (Hachi-gatsu no kyôshikyoku),Drama,2021-04-10,Chocolate coconut protein bars inspired by the classic candy bar.,{}
85936a54-0590-4394-9b1f-ca2fd5185b5d,"End of the Affair, The",Drama,1999-06-09,"A delicious creamy dip featuring spinach and artichokes, perfect for parties.",{}
7e3519fa-e77b-4e36-b92c-a2f94fc4dbb6,Kolya (Kolja),Comedy,2020-08-05,Convenient charging stand for smartphones and devices.,{}
743fe735-e22d-469d-be01-eb566fbe0fb4,Destiny Turns on the Radio,Comedy,2025-05-04,Easy-to-heat frozen burritos for a quick meal.,{}
c2c6432b-b412-47f7-a5a9-f92e5c27bd36,Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi),Action,2006-12-17,Specialized attachment for removing pet hair from surfaces.,{}
83f8aab0-8480-457a-b16a-62e88d20ec80,The Wild Bunch: An Album in Montage,Documentary,1990-10-16,"Nutty flavored lentils, perfect for soups and salads.",{}
828ba493-3934-44b5-bb61-5e7a8be70b6e,Remember the Day,Drama,1978-06-22,Retro arcade machine for classic gaming.,{}
a49fb092-2e79-468f-9e3f-7f049fb0ee76,My Life in Orange (Sommer in Orange),Comedy,1990-09-13,Safe and fun trampoline for children.,{}
eb4ad09e-dd91-41bd-98f2-619532a90c39,Grateful Dead,Documentary,1992-09-08,Control appliances remotely using your smartphone.,{}
5cd1a966-3681-4406-8b6a-8756d23427f8,Bad Boys II,Action,1993-10-27,Beautiful wall calendar for organizing your schedule.,{}
c4572e6f-790c-474f-b74e-71bac0bba0ca,In Praise of Love (Éloge de l'amour),Drama,1976-05-27,Lightweight tripod designed for smartphone photography.,{}
fdb83311-35f0-41ca-9e13-f11dc5243191,The Power and the Glory,Drama,1967-08-12,Versatile electric skillet for stir-frying and searing.,{}
b7e0334e-bf8b-4a84-8644-f1be1bb94c55,"Little Bit of Heaven, A",Comedy,2015-07-29,"Sweet and juicy strawberries, perfect for desserts.",{}
3edaea4d-c4b5-485f-98f2-cb9343a29376,Sybil,Drama,2004-07-21,Sweet and savory sauce for marinating and glazing meats or vegetables.,{}
23a12ad1-4fb1-4bea-bb33-743aa6687a7e,True Heart Susie,Drama,1980-04-29,"Light and crispy baked chips, a healthier snack option.",{}
675ed032-f515-4fdf-9397-53ef28c617ef,Daria: Is It College Yet?,Comedy,2019-05-06,A sweet and tangy vinaigrette dressing for salads.,{}
2c56b194-4b10-4638-a5e3-ea4d3c50dc08,Over Her Dead Body,Comedy,1989-10-15,A hearty vegetable curry for a quick and satisfying meal.,{}
7a990d30-03f2-4d37-90a1-386bbcbeba7e,7 Days (Les 7 jours du talion),Thriller,2007-11-15,A fragrant blend of Italian herbs for pasta sauces and marinades.,{}
bc701fc4-3a84-4f1b-a8ba-daaf0584b33d,"Glass Menagerie, The",Drama,1967-05-26,A fashion-forward bomber jacket to elevate your casual looks.,{}
50a73b48-5485-446e-b5a1-5ed4e493a01c,Jönssonligan på Mallorca,Comedy,2022-07-25,Toy drone that flies with gestures and is easy to control.,{}
